Name,Week,FGM,FGA,PCT
matt-prater,18,3,3,1
matt-prater,17,4,4,1
matt-prater,16,1,3,0.333333333
matt-prater,15,2,2,1
matt-prater,14,3,3,1
matt-prater,13,2,2,1
matt-prater,11,1,3,0.333333333
matt-prater,10,1,1,1
matt-prater,9,1,1,1
matt-prater,8,0,0,
matt-prater,7,1,1,1
matt-prater,6,3,3,1
matt-prater,5,1,2,0.5
matt-prater,4,3,3,1
matt-prater,3,1,2,0.5
matt-prater,2,2,2,1
matt-prater,1,1,2,0.5
justin-tucker,18,2,2,1
justin-tucker,17,4,4,1
justin-tucker,16,0,0,
justin-tucker,15,1,1,1
justin-tucker,14,3,3,1
justin-tucker,13,2,2,1
justin-tucker,12,3,3,1
justin-tucker,11,3,3,1
justin-tucker,10,1,2,0.5
justin-tucker,9,2,2,1
justin-tucker,7,1,1,1
justin-tucker,6,2,2,1
justin-tucker,5,1,1,1
justin-tucker,4,3,3,1
justin-tucker,3,4,5,0.8
justin-tucker,2,1,1,1
justin-tucker,1,2,2,1
younghoe-koo,18,2,2,1
younghoe-koo,17,2,2,1
younghoe-koo,16,2,2,1
younghoe-koo,15,2,2,1
younghoe-koo,14,3,3,1
younghoe-koo,13,1,1,1
younghoe-koo,12,0,0,
younghoe-koo,11,0,1,0
younghoe-koo,10,1,1,1
younghoe-koo,9,2,2,1
younghoe-koo,8,2,3,0.666666667
younghoe-koo,7,3,3,1
younghoe-koo,5,2,2,1
younghoe-koo,4,1,1,1
younghoe-koo,3,1,1,1
younghoe-koo,2,1,1,1
younghoe-koo,1,2,2,1
tyler-bass,18,2,2,1
tyler-bass,17,0,0,
tyler-bass,16,2,2,1
tyler-bass,15,1,1,1
tyler-bass,14,2,2,1
tyler-bass,13,1,2,0.5
tyler-bass,12,1,1,1
tyler-bass,11,0,2,0
tyler-bass,10,1,1,1
tyler-bass,9,2,2,1
tyler-bass,8,2,2,1
tyler-bass,6,3,3,1
tyler-bass,5,1,1,1
tyler-bass,4,4,4,1
tyler-bass,3,3,3,1
tyler-bass,2,0,1,0
tyler-bass,1,3,3,1
lirim-hajrullahu,18,1,1,1
lirim-hajrullahu,17,1,2,0.5
lirim-hajrullahu,16,2,2,1
lirim-hajrullahu,10,0,0,
evan-mcpherson,18,0,0,
evan-mcpherson,17,2,2,1
evan-mcpherson,16,2,3,0.666666667
evan-mcpherson,15,3,3,1
evan-mcpherson,14,3,4,0.75
evan-mcpherson,13,1,1,1
evan-mcpherson,12,2,2,1
evan-mcpherson,11,4,4,1
evan-mcpherson,9,1,1,1
evan-mcpherson,8,1,1,1
evan-mcpherson,7,2,2,1
evan-mcpherson,6,2,2,1
evan-mcpherson,5,0,2,0
evan-mcpherson,4,1,2,0.5
evan-mcpherson,3,1,1,1
evan-mcpherson,2,1,1,1
evan-mcpherson,1,2,2,1
cairo-santos,18,3,3,1
cairo-santos,17,2,2,1
cairo-santos,16,1,1,1
cairo-santos,15,1,2,0.5
cairo-santos,14,3,3,1
cairo-santos,13,0,0,
cairo-santos,12,3,4,0.75
cairo-santos,11,0,1,0
cairo-santos,9,2,3,0.666666667
cairo-santos,8,3,3,1
cairo-santos,7,1,1,1
cairo-santos,6,0,0,
cairo-santos,5,2,2,1
cairo-santos,4,1,1,1
cairo-santos,3,2,2,1
cairo-santos,2,2,2,1
cairo-santos,1,0,0,
chase-mclaughlin,18,0,0,
chase-mclaughlin,17,0,0,
chase-mclaughlin,15,0,1,0
chase-mclaughlin,14,1,2,0.5
chase-mclaughlin,12,1,2,0.5
chase-mclaughlin,11,0,1,0
chase-mclaughlin,10,0,0,
chase-mclaughlin,9,2,3,0.666666667
chase-mclaughlin,8,1,1,1
chase-mclaughlin,7,1,2,0.5
chase-mclaughlin,6,0,0,
chase-mclaughlin,5,2,2,1
chase-mclaughlin,4,2,2,1
chase-mclaughlin,3,4,4,1
chase-mclaughlin,2,1,1,1
chase-mclaughlin,1,0,0,
greg-zuerlein,18,1,1,1
greg-zuerlein,17,0,1,0
greg-zuerlein,16,0,0,
greg-zuerlein,15,3,3,1
greg-zuerlein,14,4,4,1
greg-zuerlein,13,2,2,1
greg-zuerlein,12,2,3,0.666666667
greg-zuerlein,11,3,3,1
greg-zuerlein,9,0,0,
greg-zuerlein,8,2,3,0.666666667
greg-zuerlein,6,3,4,0.75
greg-zuerlein,5,3,3,1
greg-zuerlein,4,1,1,1
greg-zuerlein,3,0,0,
greg-zuerlein,2,2,2,1
greg-zuerlein,1,3,5,0.6
brandon-mcmanus,18,1,1,1
brandon-mcmanus,17,2,2,1
brandon-mcmanus,16,2,3,0.666666667
brandon-mcmanus,15,1,2,0.5
brandon-mcmanus,14,1,1,1
brandon-mcmanus,13,1,1,1
brandon-mcmanus,12,0,0,
brandon-mcmanus,10,2,3,0.666666667
brandon-mcmanus,9,3,4,0.75
brandon-mcmanus,8,1,2,0.5
brandon-mcmanus,7,0,0,
brandon-mcmanus,6,1,1,1
brandon-mcmanus,5,2,2,1
brandon-mcmanus,4,0,0,
brandon-mcmanus,3,4,4,1
brandon-mcmanus,2,3,3,1
brandon-mcmanus,1,2,2,1
riley-patterson,18,3,3,1
riley-patterson,17,0,1,0
riley-patterson,16,3,3,1
riley-patterson,15,3,3,1
riley-patterson,14,1,1,1
riley-patterson,13,3,3,1
riley-patterson,12,0,0,
riley-patterson,11,0,0,
ka-imi-fairbairn,18,1,1,1
ka-imi-fairbairn,17,0,1,0
ka-imi-fairbairn,15,3,3,1
ka-imi-fairbairn,14,2,2,1
ka-imi-fairbairn,13,0,0,
ka-imi-fairbairn,12,0,1,0
ka-imi-fairbairn,11,3,3,1
ka-imi-fairbairn,9,3,3,1
ka-imi-fairbairn,8,0,1,0
ka-imi-fairbairn,7,1,1,1
ka-imi-fairbairn,6,1,1,1
ka-imi-fairbairn,5,1,2,0.5
ka-imi-fairbairn,4,0,0,
mason-crosby,18,1,1,1
mason-crosby,17,3,3,1
mason-crosby,16,1,1,1
mason-crosby,15,1,1,1
mason-crosby,14,1,1,1
mason-crosby,12,3,4,0.75
mason-crosby,11,1,2,0.5
mason-crosby,10,1,2,0.5
mason-crosby,9,0,2,0
mason-crosby,8,1,1,1
mason-crosby,7,1,2,0.5
mason-crosby,6,1,1,1
mason-crosby,5,4,7,0.571428571
mason-crosby,4,2,2,1
mason-crosby,3,3,3,1
mason-crosby,2,0,0,
mason-crosby,1,1,1,1
mike-badgley,18,1,1,1
mike-badgley,17,2,2,1
mike-badgley,16,2,3,0.666666667
mike-badgley,15,2,3,0.666666667
mike-badgley,13,1,2,0.5
mike-badgley,12,1,1,1
mike-badgley,11,2,2,1
mike-badgley,10,3,3,1
mike-badgley,9,1,1,1
mike-badgley,8,1,1,1
mike-badgley,7,1,1,1
mike-badgley,6,1,1,1
mike-badgley,1,0,1,0
matt-gay,18,1,1,1
matt-gay,17,0,1,0
matt-gay,16,3,3,1
matt-gay,15,2,2,1
matt-gay,14,3,3,1
matt-gay,13,3,3,1
matt-gay,12,2,2,1
matt-gay,10,1,1,1
matt-gay,9,3,3,1
matt-gay,8,1,1,1
matt-gay,7,2,2,1
matt-gay,6,1,1,1
matt-gay,5,2,2,1
matt-gay,4,2,3,0.666666667
matt-gay,3,2,2,1
matt-gay,2,2,2,1
matt-gay,1,2,2,1
matthew-wright,18,4,4,1
matthew-wright,17,1,1,1
matthew-wright,16,3,3,1
matthew-wright,15,3,3,1
matthew-wright,14,0,0,
matthew-wright,13,0,0,
matthew-wright,12,2,2,1
matthew-wright,11,1,1,1
matthew-wright,10,1,2,0.5
matthew-wright,9,3,4,0.75
matthew-wright,8,0,0,
matthew-wright,6,3,3,1
matthew-wright,5,0,1,0
matthew-wright,4,0,0,
greg-joseph,18,1,1,1
greg-joseph,17,1,1,1
greg-joseph,16,3,3,1
greg-joseph,15,1,1,1
greg-joseph,14,3,4,0.75
greg-joseph,13,3,3,1
greg-joseph,12,0,0,
greg-joseph,11,2,2,1
greg-joseph,10,2,2,1
greg-joseph,9,1,1,1
greg-joseph,8,3,3,1
greg-joseph,6,3,5,0.6
greg-joseph,5,4,5,0.8
greg-joseph,4,0,0,
greg-joseph,3,3,3,1
greg-joseph,2,2,3,0.666666667
greg-joseph,1,1,1,1
harrison-butker,18,2,2,1
harrison-butker,17,1,1,1
harrison-butker,15,2,2,1
harrison-butker,14,2,2,1
harrison-butker,13,3,3,1
harrison-butker,11,2,3,0.666666667
harrison-butker,10,2,3,0.666666667
harrison-butker,9,2,2,1
harrison-butker,8,2,2,1
harrison-butker,7,1,2,0.5
harrison-butker,6,1,1,1
harrison-butker,5,2,2,1
harrison-butker,4,0,0,
harrison-butker,3,1,1,1
harrison-butker,2,0,0,
harrison-butker,1,2,2,1
brett-maher,18,3,4,0.75
brett-maher,17,4,4,1
brett-maher,16,1,1,1
brett-maher,15,3,3,1
brett-maher,14,3,3,1
brett-maher,13,1,2,0.5
brett-maher,12,0,0,
brett-maher,11,1,1,1
daniel-carlson,18,5,5,1
daniel-carlson,17,3,3,1
daniel-carlson,16,1,1,1
daniel-carlson,15,3,3,1
daniel-carlson,14,1,1,1
daniel-carlson,13,3,3,1
daniel-carlson,12,5,5,1
daniel-carlson,11,2,2,1
daniel-carlson,10,0,0,
daniel-carlson,9,3,4,0.75
daniel-carlson,7,2,2,1
daniel-carlson,6,2,3,0.666666667
daniel-carlson,5,1,1,1
daniel-carlson,4,0,1,0
daniel-carlson,3,3,3,1
daniel-carlson,2,4,4,1
daniel-carlson,1,2,2,1
graham-gano,18,0,0,
graham-gano,17,1,1,1
graham-gano,16,1,1,1
graham-gano,15,2,2,1
graham-gano,14,0,0,
graham-gano,13,3,4,0.75
graham-gano,12,2,3,0.666666667
graham-gano,11,1,1,1
graham-gano,9,3,3,1
graham-gano,8,1,1,1
graham-gano,7,3,3,1
graham-gano,6,1,1,1
graham-gano,5,2,3,0.666666667
graham-gano,4,2,3,0.666666667
graham-gano,3,2,2,1
graham-gano,2,5,5,1
graham-gano,1,0,0,
dustin-hopkins,18,1,2,0.5
dustin-hopkins,17,2,2,1
dustin-hopkins,16,3,3,1
dustin-hopkins,15,0,0,
dustin-hopkins,14,3,3,1
dustin-hopkins,13,2,2,1
dustin-hopkins,12,0,1,0
dustin-hopkins,11,2,2,1
dustin-hopkins,10,2,2,1
dustin-hopkins,9,2,2,1
dustin-hopkins,8,1,1,1
dustin-hopkins,6,2,3,0.666666667
dustin-hopkins,5,3,3,1
dustin-hopkins,4,1,1,1
dustin-hopkins,3,0,0,
dustin-hopkins,2,3,3,1
dustin-hopkins,1,3,4,0.75
jake-elliott,18,2,2,1
jake-elliott,17,2,2,1
jake-elliott,16,2,3,0.666666667
jake-elliott,15,2,2,1
jake-elliott,13,4,4,1
jake-elliott,12,0,0,
jake-elliott,11,4,4,1
jake-elliott,10,3,3,1
jake-elliott,9,1,1,1
jake-elliott,8,3,3,1
jake-elliott,7,0,0,
jake-elliott,6,0,1,0
jake-elliott,5,2,2,1
jake-elliott,4,3,3,1
jake-elliott,3,0,0,
jake-elliott,2,1,2,0.5
jake-elliott,1,1,1,1
jason-sanders,18,2,2,1
jason-sanders,17,1,2,0.5
jason-sanders,16,2,3,0.666666667
jason-sanders,15,1,1,1
jason-sanders,13,2,3,0.666666667
jason-sanders,12,2,2,1
jason-sanders,11,1,2,0.5
jason-sanders,10,3,3,1
jason-sanders,9,1,1,1
jason-sanders,8,1,2,0.5
jason-sanders,7,0,1,0
jason-sanders,6,2,3,0.666666667
jason-sanders,5,1,1,1
jason-sanders,4,1,1,1
jason-sanders,3,2,3,0.666666667
jason-sanders,2,0,0,
jason-sanders,1,1,1,1
robbie-gould,18,2,2,1
robbie-gould,17,3,3,1
robbie-gould,16,1,1,1
robbie-gould,15,1,1,1
robbie-gould,14,2,3,0.666666667
robbie-gould,13,1,1,1
robbie-gould,12,2,3,0.666666667
robbie-gould,11,3,3,1
robbie-gould,10,1,1,1
robbie-gould,9,1,1,1
robbie-gould,4,0,0,
robbie-gould,3,0,0,
robbie-gould,2,1,1,1
robbie-gould,1,2,3,0.666666667
nick-folk,18,1,1,1
nick-folk,17,1,1,1
nick-folk,16,0,0,
nick-folk,15,1,1,1
nick-folk,13,2,2,1
nick-folk,12,5,6,0.833333333
nick-folk,11,4,4,1
nick-folk,10,1,1,1
nick-folk,9,1,2,0.5
nick-folk,8,4,4,1
nick-folk,7,2,2,1
nick-folk,6,0,0,
nick-folk,5,4,4,1
nick-folk,4,1,2,0.5
nick-folk,3,2,2,1
nick-folk,2,4,4,1
nick-folk,1,3,3,1
jason-myers,18,1,1,1
jason-myers,17,3,3,1
jason-myers,16,1,2,0.5
jason-myers,15,1,1,1
jason-myers,14,2,2,1
jason-myers,13,0,1,0
jason-myers,12,0,0,
jason-myers,11,2,2,1
jason-myers,10,0,0,
jason-myers,8,1,1,1
jason-myers,7,1,3,0.333333333
jason-myers,6,2,2,1
jason-myers,5,1,2,0.5
jason-myers,4,0,0,
jason-myers,3,1,2,0.5
jason-myers,2,1,1,1
jason-myers,1,0,0,
matt-ammendola,12,2,3,0.666666667
matt-ammendola,11,1,3,0.333333333
matt-ammendola,10,1,1,1
matt-ammendola,9,1,1,1
matt-ammendola,8,2,3,0.666666667
matt-ammendola,7,0,1,0
matt-ammendola,5,2,2,1
matt-ammendola,4,2,2,1
matt-ammendola,3,0,0,
matt-ammendola,2,2,3,0.666666667
matt-ammendola,1,0,0,
ryan-succop,18,2,3,0.666666667
ryan-succop,17,2,2,1
ryan-succop,16,4,4,1
ryan-succop,15,0,1,0
ryan-succop,14,2,2,1
ryan-succop,13,1,1,1
ryan-succop,12,1,1,1
ryan-succop,11,3,3,1
ryan-succop,10,2,2,1
ryan-succop,8,0,0,
ryan-succop,7,1,2,0.5
ryan-succop,6,0,0,
ryan-succop,5,1,1,1
ryan-succop,4,4,5,0.8
ryan-succop,3,1,2,0.5
ryan-succop,2,0,0,
ryan-succop,1,1,1,1
chris-boswell,18,3,3,1
chris-boswell,17,4,4,1
chris-boswell,16,1,2,0.5
chris-boswell,15,4,5,0.8
chris-boswell,14,0,1,0
chris-boswell,13,2,2,1
chris-boswell,12,1,1,1
chris-boswell,11,3,3,1
chris-boswell,10,3,3,1
chris-boswell,9,3,3,1
chris-boswell,8,1,1,1
chris-boswell,6,3,3,1
chris-boswell,5,2,2,1
chris-boswell,4,1,1,1
chris-boswell,3,1,2,0.5
chris-boswell,2,1,1,1
chris-boswell,1,3,3,1
brian-johnson-3,18,0,0,
brian-johnson-3,17,0,0,
brian-johnson-3,16,0,0,
brian-johnson-3,15,1,1,1
brian-johnson-3,14,0,0,
brian-johnson-3,13,1,1,1
brian-johnson-3,10,1,1,1
brian-johnson-3,9,2,2,1
brian-johnson-3,8,3,3,1
brian-johnson-3,7,2,2,1
randy-bullock,18,0,1,0
randy-bullock,17,2,2,1
randy-bullock,16,2,2,1
randy-bullock,15,2,2,1
randy-bullock,14,2,3,0.666666667
randy-bullock,12,0,1,0
randy-bullock,11,0,0,
randy-bullock,10,3,3,1
randy-bullock,9,0,0,
randy-bullock,8,2,2,1
randy-bullock,7,2,2,1
randy-bullock,6,2,2,1
randy-bullock,5,1,1,1
randy-bullock,4,3,4,0.75
randy-bullock,3,1,1,1
randy-bullock,2,4,5,0.8
